Kind,Identifier,Common Facet,Leaf Term
1,13473,"Document, Projection, Elevation",Elevation
1,13474,"Document, Projection, Plan",Plan
1,13475,"Document, Projection, Plan, Floor Plan",Floor Plan
1,13476,"Document, Projection, Plan, Site Plan",Site Plan
1,13477,"Document, Projection, Section",Section
1,13472,"Document, Projection, Technical Drawing",Technical Drawing
1,13772,"Document, Questionnaire",Questionnaire
1,13773,"Document, Rebus",Rebus
1,13776,"Document, Recording",Recording
1,13779,"Document, Recording, Audio Recording",Audio Recording
1,13777,"Document, Recording, Filmstrip",Filmstrip
1,13778,"Document, Recording, Motion Picture",Motion Picture
1,13780,"Document, Recording, Video Recording",Video Recording
1,13781,"Document, Reproduction",Reproduction
1,13782,"Document, Reproduction, Facsimile",Facsimile
1,13783,"Document, Reproduction, Replica",Replica
1,13645,"Document, Reprographic Copy",Reprographic Copy
1,13646,"Document, Reprographic Copy, Blueprint",Blueprint
1,13647,"Document, Reprographic Copy, Photocopy",Photocopy
1,13648,"Document, Reprographic Copy, Reprint",Reprint
1,13784,"Document, Request",Request
1,13785,"Document, Request, Invitation",Invitation
1,13786,"Document, Request, Petition",Petition
1,13478,"Document, Rubbing",Rubbing
1,13787,"Document, Schedule",Schedule
1,13788,"Document, Schedule, Fee Schedule",Fee Schedule
1,13789,"Document, Schedule, Timetable",Timetable
1,13675,"Document, Scoring Document",Scoring Document
1,13676,"Document, Scoring Document, Scorebook",Scorebook
1,13677,"Document, Scoring Document, Scorecard",Scorecard
1,13790,"Document, Scroll",Scroll
1,13802,"Document, Specification",Specification
1,13803,"Document, Sticker",Sticker
1,13804,"Document, Sticker, Bumper Sticker",Bumper Sticker
1,13479,"Document, Storyboard",Storyboard
1,13775,"Document, Student Record",Student Record
1,13805,"Document, Tablet",Tablet
1,13313,"Document, Testimonial",Testimonial
1,13678,"Document, Travel Document",Travel Document
1,13679,"Document, Travel Document, Itinerary",Itinerary
1,13680,"Document, Travel Document, Passport",Passport
1,13681,"Document, Travel Document, Visa",Visa
1,13806,"Document, Typescript",Typescript
1,13480,"Document, Zoetrope Strip",Zoetrope Strip
